userId,train_rating_count,segment
329,16,warm
330,173,power
331,2,cold
332,2,cold
333,18,warm
334,108,power
335,20,warm
336,39,warm
337,4,cold
338,27,warm
339,260,power
340,20,warm
341,36,warm
342,46,warm
343,41,warm
344,2,cold
345,43,warm
346,115,power
347,31,warm
348,38,warm
349,26,warm
350,28,warm
351,99,power
352,206,power
353,63,power
354,158,power
355,3,cold
356,202,power
357,3,cold
358,2,cold
359,52,power
360,18,warm
361,68,power
362,76,power
363,21,warm
364,4,cold
365,194,power
366,22,warm
367,130,power
368,328,power
369,90,power
370,65,power
371,29,warm
372,165,power
373,70,power
374,23,warm
375,23,warm
376,93,power
377,92,power
378,34,warm
379,25,warm
380,853,power
381,332,power
382,204,power
383,24,warm
384,49,warm
385,141,power
386,48,warm
387,719,power
388,20,warm
389,24,warm
390,57,power
391,270,power
392,18,warm
393,86,power
394,16,warm
395,43,warm
396,20,warm
397,16,warm
398,32,warm
399,25,warm
400,30,warm
401,3,cold
402,34,warm
403,24,warm
404,42,warm
405,84,power
406,14,warm
407,3,cold
408,99,power
409,88,power
410,1,cold
411,89,power
412,71,power
413,39,warm
414,1889,power
415,66,power
416,36,warm
417,47,warm
418,1,cold
419,108,power
420,3,cold
421,26,warm
422,65,power
423,2,cold
424,97,power
425,214,power
426,62,power
427,59,power
428,210,power
429,41,warm
430,41,warm
431,14,warm
432,182,power
433,15,warm
434,163,power
435,29,warm
436,74,power
437,85,power
438,444,power
439,15,warm
440,1,cold
441,31,warm
442,14,warm
443,26,warm
444,29,warm
445,54,power
446,59,power
447,55,power
448,1305,power
449,27,warm
450,36,warm
451,24,warm
452,141,power
453,218,power
454,31,warm
455,2,cold
456,2,cold
457,35,warm
458,41,warm
459,18,warm
460,57,power
461,19,warm
462,318,power
463,2,cold
464,97,power
465,80,power
466,79,power
467,15,warm
468,23,warm
469,326,power
470,56,power
471,20,warm
472,20,warm
473,26,warm
474,1476,power
475,108,power
476,48,warm
477,2,cold
478,15,warm
479,1,cold
480,585,power
481,22,warm
482,90,power
483,510,power
484,192,power
485,16,warm
486,39,warm
487,39,warm
488,78,power
489,454,power
490,79,power
491,45,warm
492,85,power
493,43,warm
494,15,warm
495,186,power
496,2,cold
497,3,cold
498,24,warm
499,19,warm
500,3,cold
501,31,warm
502,24,warm
503,66,power
504,61,power
505,22,warm
506,29,warm
507,15,warm
508,17,warm
509,327,power
510,76,power
511,36,warm
512,35,warm
513,22,warm
514,278,power
515,18,warm
516,1,cold
517,280,power
518,17,warm
519,18,warm
520,130,power
521,28,warm
522,2,cold
523,52,power
524,92,power
525,350,power
526,41,warm
527,117,power
528,51,power
529,18,warm
530,19,warm
531,15,warm
532,35,warm
533,1,cold
534,1,cold
535,21,warm
536,28,warm
537,33,warm
538,26,warm
539,27,warm
540,29,warm
541,61,power
542,3,cold
543,1,cold
544,15,warm
545,16,warm
546,45,warm
547,15,warm
548,18,warm
549,15,warm
550,20,warm
551,86,power
552,132,power
553,58,power
554,62,power
555,405,power
556,22,warm
557,19,warm
558,39,warm
559,98,power
560,321,power
561,354,power
562,162,power
563,149,power
564,110,power
565,20,warm
566,52,power
567,270,power
568,16,warm
569,14,warm
570,134,power
571,78,power
572,108,power
573,209,power
574,16,warm
575,2,cold
576,14,warm
577,113,power
578,19,warm
579,51,power
580,305,power
581,28,warm
582,1,cold
583,39,warm
584,58,power
585,43,warm
586,146,power
587,115,power
588,39,warm
589,28,warm
590,510,power
591,1,cold
592,66,power
593,72,power
594,162,power
595,14,warm
596,288,power
597,4,cold
598,15,warm
599,1735,power
600,534,power
601,71,power
602,94,power
603,660,power
604,70,power
605,3,cold
606,780,power
607,131,power
608,582,power
609,3,cold
610,911,power
